Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","10284.951","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","5077.681","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","5207.27","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","4403.813","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","5695.93","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","373.272","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","180.438","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","192.834","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","63.41","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","297.422","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","406.471","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","194.506","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","211.965","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","68.165","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","338.674","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","1213.645","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","13","Bahreïn","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","754","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","13","Bahreïn","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","459.645","X","Ciffre de sources internationales",""
