Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","168","Papouasie-Nouvelle-Guinée","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4590","E","Valeur estimée"
"QCL","Cultures et produits animaux","169","Paraguay","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","23522","I","Valeur imputée"
"QCL","Cultures et produits animaux","150","Pays-Bas (Royaume des)","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","101863","A","Chiffre officiel"
"QCL","Cultures et produits animaux","170","Pérou","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","171059","A","Chiffre officiel"
"QCL","Cultures et produits animaux","171","Philippines","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","178265","A","Chiffre officiel"
"QCL","Cultures et produits animaux","173","Pologne","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","182473","A","Chiffre officiel"
"QCL","Cultures et produits animaux","70","Polynésie française","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","325","E","Valeur estimée"
"QCL","Cultures et produits animaux","177","Porto Rico","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","14893","I","Valeur imputée"
"QCL","Cultures et produits animaux","174","Portugal","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","10030","A","Chiffre officiel"
"QCL","Cultures et produits animaux","179","Qatar","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","3000","E","Valeur estimée"
"QCL","Cultures et produits animaux","212","République arabe syrienne","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","18741","A","Chiffre officiel"
"QCL","Cultures et produits animaux","37","République centrafricaine","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","7045","E","Valeur estimée"
"QCL","Cultures et produits animaux","117","République de Corée","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","178528","A","Chiffre officiel"
"QCL","Cultures et produits animaux","146","République de Moldova","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","41558","I","Valeur imputée"
"QCL","Cultures et produits animaux","250","République démocratique du Congo","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","18675","A","Chiffre officiel"
