Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","643","Fédération de Russie","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","11000","E","Valeur estimée"
"TCL","Cultures et produits animaux","643","Fédération de Russie","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","12049","A","Chiffre officiel"
"TCL","Cultures et produits animaux","242","Fidji","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","460","A","Chiffre officiel"
"TCL","Cultures et produits animaux","242","Fidji","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","1741","A","Chiffre officiel"
"TCL","Cultures et produits animaux","246","Finlande","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","631","A","Chiffre officiel"
"TCL","Cultures et produits animaux","246","Finlande","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","2617","A","Chiffre officiel"
"TCL","Cultures et produits animaux","246","Finlande","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","14081","A","Chiffre officiel"
"TCL","Cultures et produits animaux","246","Finlande","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","5590","A","Chiffre officiel"
"TCL","Cultures et produits animaux","250","France","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","21003","A","Chiffre officiel"
"TCL","Cultures et produits animaux","250","France","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","35067","A","Chiffre officiel"
"TCL","Cultures et produits animaux","250","France","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","97918","A","Chiffre officiel"
"TCL","Cultures et produits animaux","250","France","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","186102","A","Chiffre officiel"
"TCL","Cultures et produits animaux","266","Gabon","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","307","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","266","Gabon","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","479","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","270","Gambie","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","5","A","Chiffre officiel"
"TCL","Cultures et produits animaux","270","Gambie","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","0","A","Chiffre officiel"
"TCL","Cultures et produits animaux","268","Géorgie","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","588","I","Valeur imputée"
